student_id,discussion_title,views,company,leetcode_solved,contest_rating,internships,projects,cgpa,communication_score,cs_fundamentals_score,placement_status,salary_package_lpa
57,need advice,18,Unknown,2106,1304,4,2,9.16,62,72,Not Placed,0.0
58,Microsoft | SDE2 | L61 | 28th Feb Hiring Drive,24,Microsoft,910,1790,4,1,9.46,50,47,Not Placed,0.0
59,Anyone facing issues with TypeScript/JavaScript Min and Max PriorityQueues ?,25,Unknown,1401,1582,1,4,8.35,45,77,Not Placed,0.0
60,Google Interview Question Help | Onsite 1,264,Google,1622,2293,0,2,6.65,51,56,Not Placed,0.0
61,Google or Remote,951,Google,956,2068,3,3,8.05,47,48,Not Placed,0.0
62,Goldman Sachs | Interview Experience,19,Unknown,2415,2503,3,5,6.5,42,59,Not Placed,0.0
63,"Apple-Java,Springboot,Microservices Elimination round interviews scheduled on March 7th 2025",104,Apple,1316,2295,2,1,9.09,73,70,Not Placed,0.0
64,How Using an Array Instead of a HashMap Works,660,Unknown,2107,2306,1,5,8.66,91,45,Not Placed,0.0
65,Software Developer Interview at Amazon,829,Amazon,1986,1575,1,5,8.49,72,48,Not Placed,0.0
66,Amazon System Design,21,Amazon,2200,2057,3,4,7.07,66,62,Not Placed,0.0
67,Gorakhpur to Nepal Tour Package,0,Unknown,2284,2207,3,1,9.43,90,93,Not Placed,0.0
68,DSA preparation help for Google ( Rounds 2 and 3 ),0,Google,1203,1231,4,6,9.45,46,41,Not Placed,0.0
69,Google Lowballing Experienced Candidates for L3 – My Experience,548,Google,413,2028,1,1,9.55,69,46,Not Placed,0.0
70,Microsoft Interview Process Query,16,Microsoft,120,1856,1,5,6.18,90,92,Not Placed,0.0
71,Meta [Software Engineer E4] Phone Screen,18,Meta,2493,1309,1,5,7.77,58,70,Not Placed,0.0
72,What are the most common questions asked in a phone interview for an SDE 1 position?,278,Unknown,2235,2333,1,3,6.0,76,54,Not Placed,0.0
73,Amazon Interview cram session,17,Amazon,2475,1304,3,2,7.1,54,91,Not Placed,0.0
74,Glean | New Grad Interview Full Loop Experience,2430,Unknown,2314,1219,3,4,8.42,71,60,Not Placed,0.0
75,Yahoo | SDE Intern | 2025,145,Unknown,1997,1481,3,1,6.14,63,75,Not Placed,0.0
76,Meta | Phone Screen,1056,Meta,1678,2595,3,4,8.42,93,99,Not Placed,0.0
77,Google L3 | Phone Screen | Reject,328,Google,1026,2325,0,5,7.49,45,42,Not Placed,0.0
78,Meta Variant for Next Permutation (LC31),578,Meta,1005,1867,3,2,8.0,96,55,Not Placed,0.0
79,20 Most Important Interview Questions in JAVA,92,Unknown,2384,2338,0,4,9.45,49,55,Not Placed,0.0
80,Looking for leetcode prep buddy,1,Unknown,1132,2423,2,5,7.51,64,49,Not Placed,0.0
81,Meta | Phone Screening,17,Meta,1081,1843,3,2,8.32,82,52,Not Placed,0.0
82,Goldman Sachs Superday,21,Unknown,2011,1840,3,6,7.69,43,52,Not Placed,0.0
83,Goldman Sachs Superday,16,Unknown,1921,1876,4,3,6.22,53,45,Not Placed,0.0
84,Python Data Structure Shortcuts for Coding Interviews,73,Unknown,1702,2271,0,4,7.8,42,44,Not Placed,0.0
85,Ethos Life OA Question,17,Unknown,2299,1548,0,5,9.33,95,74,Not Placed,0.0
86,"Pinterest Coding 2024, Can't solve using AI either",27,Unknown,244,1873,4,1,7.13,55,81,Not Placed,0.0
87,[TikTok] AMS Intern Assessment 2025 Start - 1-5 Mar (Generic),38,Unknown,176,2529,1,5,9.14,89,54,Not Placed,0.0
88,Stripe Phone Screen | USA | March 2025 | SWE | Suggestion,12,Unknown,2389,1942,1,2,7.14,47,79,Not Placed,0.0
89,UKG VS WALMART,20,Walmart,739,2347,1,3,9.14,71,87,Not Placed,0.0
90,Meta E4 Onsite result | Feeling anxious,1063,Meta,1353,1459,3,2,9.17,79,58,Not Placed,0.0
91,UKG | OA | ROUND |2025 | FEB,133,Unknown,523,1541,2,3,8.37,48,47,Not Placed,0.0
92,Meta London Interviews,226,Meta,142,1653,4,3,7.52,80,86,Not Placed,0.0
93,Meta E4 | Phone Screen | Reject despite solving two problems,614,Meta,1696,2291,3,6,8.75,45,94,Not Placed,0.0
94,Amazon Online Assessment Question,19,Amazon,1940,1573,2,2,8.45,95,65,Not Placed,0.0
95,Amazon LP Questions list that I created while preparing for my interview,5005,Amazon,1456,1884,4,5,6.29,70,46,Not Placed,0.0
96,🚀 Amazon Online Assessment | Lexicographically Largest Array (LeetCode / HackerRank),330,Amazon,1252,1265,1,1,9.03,65,82,Not Placed,0.0
97,INTEL INTERVIEW,171,Unknown,972,1441,0,3,8.15,72,93,Not Placed,0.0
98,Microsoft | L60 | Hyderabad,402,Microsoft,1835,2233,0,3,6.8,76,76,Not Placed,0.0
99,LinkedIn SSE OA,207,Unknown,148,2290,0,5,6.77,78,83,Not Placed,0.0
100,Need Help with Googlyness Round Preparation,102,Unknown,1345,1805,0,2,7.45,85,45,Not Placed,0.0
101,Dynamic Programming List,415,Unknown,753,1773,4,5,7.47,47,53,Not Placed,0.0
102,LeetCode Premium sharing for Upcoming Google L-3 SWE interviews,678,Google,1521,1681,0,6,8.03,48,55,Not Placed,0.0
103,Meta | Phone Screen,510,Meta,1606,1381,3,1,8.72,89,45,Not Placed,0.0
104,Google L3 Phone Screen,276,Google,1588,1842,4,3,6.7,40,74,Not Placed,0.0
105,Microsoft | Online Hiring Drive |  Senior Dev Role,114,Microsoft,446,1847,3,2,9.48,96,100,Not Placed,0.0
106,Microsoft | SDE2 | Hiring Drive 28 Feb | L61,45,Microsoft,1082,2059,2,5,6.24,53,57,Not Placed,0.0
107,kutumb interview experience,16,Unknown,2380,1368,0,2,7.0,46,84,Not Placed,0.0
108,LinkedIn Phone Screen,13,Unknown,1769,1381,4,2,7.09,41,42,Not Placed,0.0
109,Meta E4 Phone screen,487,Meta,1267,1500,3,3,7.78,85,76,Not Placed,0.0
110,Salesforce MTS 2025,158,Unknown,839,1905,0,5,7.09,58,40,Not Placed,0.0
111,How do you visualize recursion and backtracking?,72,Unknown,323,1749,0,5,6.18,49,46,Not Placed,0.0
112,How to do this google interview question,215,Google,550,1563,0,1,8.34,67,75,Not Placed,0.0
113,Hashing and Normal Approach Coding Which one is Better for Interview Time????,38,Unknown,382,1672,3,3,9.04,66,79,Not Placed,0.0
114,I am shortlisted in Zscaler,11,Unknown,616,2316,4,4,9.77,100,100,Not Placed,0.0
115,Optiver - SDE OA,24,Unknown,1877,2450,4,4,7.53,83,51,Not Placed,0.0
116,Google L5 interview Experience (rejected),493,Google,2236,1765,2,5,9.52,56,70,Not Placed,0.0
117,Databricks Tech Phonescreen L4 Experience,28,Unknown,549,1558,4,5,6.51,66,45,Not Placed,0.0
118,Amazon Interview Experience | L5 | Backend Engineer | Rejected,626,Amazon,1228,2559,1,6,8.57,40,87,Not Placed,0.0
119,Meta E5 phone screen - PASSED,833,Meta,2382,2395,2,1,9.09,88,69,Not Placed,0.0
120,Microsoft | Software Engineer 2 | Level 61| Screening round,198,Microsoft,799,1513,3,2,7.08,78,65,Not Placed,0.0
121,LinkedIn Phone Screen | India - Software Engineer,143,Unknown,203,1539,1,6,9.44,49,92,Not Placed,0.0
122,Meta E5 Phone Screen - (Unexpected questions),1841,Meta,187,2599,0,1,6.49,82,41,Not Placed,0.0
123,Google L3 Interview Experience - 1.5 YOE,175,Google,625,2593,2,5,9.75,61,59,Not Placed,0.0
124,booking.com | machine learning engineer  | Amsterdam,28,Unknown,2097,1458,2,2,9.44,68,88,Not Placed,0.0
125,Booking.com | machine learning engineer II interview,0,Unknown,1412,1332,1,5,6.03,57,47,Not Placed,0.0
126,LinkedIn OA,114,Unknown,562,2065,1,3,7.74,52,42,Not Placed,0.0
127,Amazon SDE 1 Virtual Onsite Interview (Given NP-Hard problem),641,Amazon,1696,1410,4,2,7.82,91,100,Not Placed,0.0
128,Goldman Sachs | Analyst  | Bengaluru & Hyderabad | OA,182,Unknown,1231,1398,4,2,6.67,88,86,Not Placed,0.0
129,Salesforce | MTS | OA,130,Unknown,1504,2062,2,6,8.35,92,46,Not Placed,0.0
130,Senior AI Engineer Power Day?,16,Unknown,1951,2211,0,2,6.21,70,95,Not Placed,0.0
131,Meta E5 Phone Screen London (28/2/25),258,Meta,793,1918,0,1,9.05,99,93,Not Placed,0.0
132,Meta Phone Screen Software Engineer,432,Meta,1601,2498,2,2,6.04,94,84,Not Placed,0.0
133,Have Some DOubt regarding submission Time in CSES problems using Python?,37,Unknown,127,1462,1,5,9.09,69,95,Not Placed,0.0
134,Okta | OA | VisageTomeToOkta,64,Unknown,114,1900,4,4,7.42,92,56,Not Placed,0.0
135,Microsoft | L60 | Hyd | Offer,230,Microsoft,1891,2484,1,1,7.83,68,51,Placed,48.89
136,List Of Problems,155,Unknown,208,1343,2,6,7.41,68,52,Not Placed,0.0
137,Microsoft | Onsite | L62,253,Microsoft,1465,1223,4,5,7.12,87,71,Not Placed,0.0
138,🚀 Amazon SDE-1 Interview: Interviewer Didn’t Show Up in Round 2! 🤯 What Now? 💻❓,547,Amazon,1982,2310,2,4,9.5,90,86,Not Placed,0.0
139,Booking.com Interview Help,26,Unknown,1489,2089,3,3,9.7,42,54,Not Placed,0.0
140,Google Software Engineer - L4 Chances,458,Google,2086,1402,4,4,6.15,95,95,Not Placed,0.0
141,Atlassian Result Timeline?,110,Atlassian,598,1471,0,6,8.06,86,88,Not Placed,0.0
142,intuition or approach for the DSA based question,255,Unknown,1660,2206,3,2,8.89,67,57,Not Placed,0.0
143,Google L4 Interview Experience,1360,Google,1768,2311,4,3,9.58,98,89,Not Placed,0.0
144,Graph- OA question,8,Unknown,263,2097,4,6,8.67,78,50,Not Placed,0.0
145,Tiktok Backend System Design Interview,41,Unknown,1608,1351,3,2,8.03,85,69,Not Placed,0.0
146,Phone Screen | Meta | Infra E5,80,Meta,1778,1267,0,5,9.66,85,46,Not Placed,0.0
147,USA | Brex | SWE II,145,Unknown,2292,2297,1,3,8.88,71,66,Not Placed,0.0
148,USA SDE II Role Glean Phone Interview,83,Unknown,668,2065,2,1,8.64,49,68,Not Placed,0.0
149,Meta Team Match USA @ E4,578,Meta,585,2565,4,3,7.51,95,71,Not Placed,0.0
150,Meta Phone Screen - SDE,311,Meta,1108,1899,1,1,7.28,50,47,Not Placed,0.0
151,Bloomberg - 2025 SWE New Grad | Final Round (EM) | NYC,73,Unknown,1622,2054,2,4,7.41,75,64,Not Placed,0.0
152,Meta phone screen software engineer,630,Meta,357,1314,2,1,7.84,87,41,Not Placed,0.0
153,Meta SWE ML E5 | Onsite + Phone screen,319,Meta,1198,2448,3,5,7.25,53,55,Not Placed,0.0
154,Microsoft L63/L62,175,Microsoft,1878,2305,1,1,8.19,52,45,Not Placed,0.0
155,Meta Variant for Accounts Merge (LC721),894,Meta,2107,2150,0,1,7.55,65,91,Not Placed,0.0
156,Zeta | Engineering Internship 2025 | India,144,Unknown,569,1738,0,2,8.33,100,50,Not Placed,0.0
157,Microsoft SDE1 interview off campus,195,Microsoft,1764,1544,3,1,6.31,92,98,Not Placed,0.0
158,Apple sde3 coding round,181,Apple,1793,2011,0,5,8.13,91,69,Not Placed,0.0
159,Meta PE screening interview,414,Meta,2240,1700,3,4,6.54,47,70,Not Placed,0.0
160,"Shortest Weighted Path, Special Conditions",54,Unknown,1224,1351,2,4,7.12,68,98,Not Placed,0.0
161,Seeking Help: IN3 Backend Position at Walmart,185,Walmart,1335,1248,4,1,6.94,85,79,Not Placed,0.0
162,Version Control System,24,Unknown,1315,2002,4,3,7.06,93,69,Not Placed,0.0
163,Meesho SDE1 OA 2025,211,Unknown,897,2510,0,6,7.88,76,57,Not Placed,0.0
164,Amazon Sde 1 Full Time Experience | Contract Experience (6 months),573,Amazon,1175,2279,4,6,7.74,78,90,Not Placed,0.0
165,Amazon SDE-2 | Onsite | Feb 2025 | Seattle,387,Amazon,2068,1994,1,2,8.24,75,83,Not Placed,0.0
166,Meta E5 Phone Screen,595,Meta,528,1288,3,2,8.65,98,92,Not Placed,0.0
167,Amazon SDE 2 | Onsite,1128,Amazon,1904,1759,3,3,7.92,44,82,Not Placed,0.0
168,Upcomming Agoda Staff Software Engineer - Front End,26,Unknown,1762,1549,0,5,9.51,97,89,Not Placed,0.0
169,Meta | Onsite | SWE E6 | USA | Reject,194,Meta,2277,1284,0,4,8.62,70,81,Not Placed,0.0
170,Atlassian Machine Learning System Engineer Screening round,140,Atlassian,1964,1527,0,2,6.49,48,89,Not Placed,0.0
171,[Summer 2025] Core Engineering Intern Test,28,Unknown,2000,2387,3,5,6.54,67,45,Not Placed,0.0
172,AWS OA SDE2,17,Unknown,1805,2408,0,2,6.47,87,80,Not Placed,0.0
173,Career Advice for an Undergraduate Junior,54,Unknown,1521,1245,0,2,9.03,90,49,Not Placed,0.0
174,Walmart vs Tekion | Need help,86,Walmart,1040,1504,0,2,6.21,68,88,Not Placed,0.0
175,Google Interview Experience,412,Google,1228,1509,2,5,6.48,85,86,Not Placed,0.0
176,Career Change HELP!!!!!!!!!!,17,Unknown,1592,1397,1,4,8.48,98,49,Not Placed,0.0
177,Microsoft SDE 2 | Hyderabad,19,Microsoft,507,1533,0,2,9.6,63,70,Not Placed,0.0
178,AMAZON SDE-1 OA,814,Amazon,764,2267,1,2,6.25,91,45,Not Placed,0.0
179,Meta E5,177,Meta,1155,1717,2,1,9.28,46,86,Not Placed,0.0
180,Amazon SDE-1 Interview Experience: A Journey Through Three Rounds,3765,Amazon,155,1499,4,4,8.96,92,64,Not Placed,0.0
181,LinkedIn | Reject,354,Unknown,1145,1424,1,2,8.61,86,60,Not Placed,0.0
182,find index with maximum distance between two occupied seats |Amazon,219,Amazon,2454,1617,4,4,9.22,86,49,Not Placed,0.0
183,Gorakhpur to Nepal Tour Package,0,Unknown,118,2512,0,3,9.46,87,41,Not Placed,0.0
184,GOOGLE ML INTERVIEW,167,Google,1163,1344,1,6,7.7,99,46,Not Placed,0.0
185,HCL tech interview,1,Unknown,1632,2506,0,2,9.76,49,67,Not Placed,0.0
186,LinkedIn Technical Screening,287,Unknown,2021,1870,0,2,6.34,80,77,Not Placed,0.0
187,Guidance for upcoming Amazon Tokyo SDE2 First Interview,141,Amazon,2047,2383,4,4,8.7,59,42,Not Placed,0.0
188,📌📌 Google latest Interview Experiences : Collection - Curated and organised,6966,Google,1891,1307,3,2,6.03,42,45,Not Placed,0.0
189,Microsoft rescheduling,149,Microsoft,254,1585,1,3,6.5,42,87,Not Placed,0.0
190,DoorDash Technical Phone Chat/Screen prep tips,199,Unknown,1695,1622,3,2,7.15,75,73,Not Placed,0.0
191,Apple SDET Interview Need help for prep,115,Apple,1278,2054,2,5,8.23,63,99,Not Placed,0.0
192,Linkedin interview experience - SE [Reject],327,Unknown,2208,1375,1,5,7.38,57,74,Not Placed,0.0
193,TikTok OA: Views and Duration,18,Unknown,1599,1278,0,6,6.26,82,60,Not Placed,0.0
194,Goldman Sachs Super Day,22,Unknown,1698,1972,0,3,8.98,89,84,Not Placed,0.0
195,Google L3 Coding Interview – Need Insights & Questions!!,273,Google,608,1809,2,4,9.35,84,76,Not Placed,0.0
196,Google rejection,1609,Google,1507,2370,4,6,7.51,81,69,Not Placed,0.0
197,Need Info on Amazon SDE 2 Virtual Loop USA,315,Amazon,645,2417,2,6,7.4,54,40,Not Placed,0.0
198,Airbnb TPS,129,Unknown,826,1394,1,5,8.4,91,77,Not Placed,0.0
199,Amazon | SDE 2 | Loop | USA - Reject,637,Amazon,260,2109,0,2,9.01,52,95,Not Placed,0.0
200,"Help Needed: Issues with Solution to LeetCode 2467 ""Most Profitable Path in a Tree""",33,Unknown,1393,2598,3,2,6.25,57,79,Not Placed,0.0
201,Microsoft | Interview Experience,17,Microsoft,1510,2083,0,3,6.62,95,45,Not Placed,0.0
202,Morgan Stanley OA problems,99,Unknown,199,1272,0,6,8.72,65,53,Not Placed,0.0
203,AMAZON OA,377,Amazon,2128,1295,1,3,7.03,47,82,Not Placed,0.0
204,Stuck at team fit Phase - My Google L4 hiring experience,257,Google,1832,1512,1,1,8.89,56,95,Not Placed,0.0
205,Google|Onsite|Ghosted,1065,Google,861,1982,0,1,7.88,92,74,Not Placed,0.0
206,Submit shows different statistics for the same code,39,Unknown,2256,2600,3,6,8.99,49,77,Not Placed,0.0
207,Swiggy | SDE 2 | Offer Freeze,20,Unknown,2467,1807,3,3,7.49,78,74,Placed,34.68
208,Google | Phone Interview | Feb 2025,336,Google,1369,2371,0,1,6.81,91,67,Not Placed,0.0
209,Amazon SDE 1 Round 2,8214,Amazon,2428,2373,0,2,6.43,63,48,Not Placed,0.0
210,Meta London E4/E5,18,Meta,1005,1770,3,2,7.17,60,91,Not Placed,0.0
211,Batch Packing Problem,144,Unknown,851,2167,2,1,8.11,71,41,Not Placed,0.0
212,Flexport | SDE-1 | Online Assessment & Interview Experience | Feb 2025 | 1.5 yrs Experience,1023,Unknown,680,1385,2,3,9.58,54,88,Not Placed,0.0
213,Data Analyst Apprentice(Google),93,Google,1733,1598,0,4,7.58,51,68,Not Placed,0.0
214,Google SAD Apprentice 1 f2f round,81,Google,1208,2505,1,4,6.83,62,56,Not Placed,0.0
215,Meta Phone Screen US,798,Meta,1540,1668,3,1,8.72,48,41,Not Placed,0.0
216,Linkedin | Phone Screen - SSE | Maximum SubArray | Reverse a String,365,Unknown,1503,1847,1,2,8.0,84,100,Not Placed,0.0
217,Meesho Online Assessment,232,Unknown,1344,1465,2,2,8.84,42,66,Not Placed,0.0
218,Goldman Sachs Online Assessment,189,Unknown,615,2446,1,4,6.98,76,41,Not Placed,0.0
219,"Meta | Tech Screen | SW,ML (2/24/25)",851,Meta,576,1528,1,3,8.39,80,97,Not Placed,0.0
220,Chances of getting hired in google for SE-3,244,Google,350,1459,4,3,7.96,54,94,Placed,45.87
221,Meta E4 Phone Screen Feb 24 2025,1131,Meta,2100,2138,0,2,9.57,54,44,Not Placed,0.0
222,Google L4 Interview,432,Google,179,2094,4,2,7.81,49,63,Not Placed,0.0
223,META LONDON SOFTWARE ENGINEER INFRA MOCK INTERVIEW NEEDED,308,Meta,1982,2112,4,3,7.06,50,80,Not Placed,0.0
224,Meta Variant for Maximum Swap (LC670),524,Meta,175,1401,2,5,6.73,72,72,Not Placed,0.0
225,amazon oa,469,Amazon,1771,1847,1,4,7.87,54,60,Not Placed,0.0
226,Apollo.io Interview | Senior Backend | Reject,85,Unknown,1404,2182,4,3,8.74,89,90,Not Placed,0.0
227,19 Insanely Useful Python Automation Scripts I Use Every Day,112,Unknown,2165,1407,3,4,6.11,42,98,Not Placed,0.0
228,Microsoft L60 Chances,627,Microsoft,2060,1618,2,3,6.08,61,77,Not Placed,0.0
229,Preparing for Meta Screening Interview,514,Meta,251,1254,1,1,8.26,86,44,Not Placed,0.0
230,Alien Dictionary - Failing Few Test Cases,56,Unknown,2213,2518,0,5,6.06,49,50,Not Placed,0.0
231,Technical Assessment | Apple | Full Stack role | Feb 2025,16,Apple,2163,1344,3,1,9.37,59,74,Not Placed,0.0
232,Looking for Suggestions & Career Advice – 6 Months of Job Hunting,3396,Unknown,392,1213,2,5,8.0,42,55,Not Placed,0.0
233,Amazon London upcoming interview,4,Amazon,326,1635,4,1,9.63,56,46,Not Placed,0.0
234,Apple Interview Experience | L4 | SDE 2 | Hyderabad,1314,Apple,2088,2212,2,3,9.22,85,41,Not Placed,0.0
235,Walmart SWE III vs NoBroker SSE,7,Walmart,2118,1690,4,4,6.6,68,68,Not Placed,0.0
236,Google Phone Screen Feedback help,187,Google,893,1628,2,2,6.46,63,54,Not Placed,0.0
237,Google L3 Phone Screen Question,336,Google,1929,1377,3,6,8.66,40,64,Not Placed,0.0
238,Amazon SDE-1 (Feb 2025) Interview Experience,1597,Amazon,706,1320,2,2,6.09,71,40,Not Placed,0.0
239,Aurora Onsite coding that I am not able to solve,0,Unknown,1093,1833,2,6,6.66,78,69,Not Placed,0.0
240,Databricks Behavioral Interview Prep,0,Unknown,2498,2474,2,3,7.25,46,71,Not Placed,0.0
241,Rubrik interviews coming up - Urgent!!,177,Unknown,591,2166,0,4,9.08,47,93,Not Placed,0.0
242,IC4 Meta Interview,249,Meta,2428,1613,3,2,6.77,93,82,Not Placed,0.0
243,Switch from Meta Infra to Product before Onsite | Need Advise,245,Meta,1975,1696,2,3,9.31,98,57,Not Placed,0.0
244,Oracle phone interview,122,Oracle,1090,1862,2,2,7.03,86,74,Not Placed,0.0
245,Salesforce Online Assesment,47,Unknown,1873,1220,3,4,6.56,84,82,Not Placed,0.0
246,Meta Onsite Question,218,Meta,737,2347,0,5,7.27,72,81,Not Placed,0.0
247,Amazon | OA,743,Amazon,384,2533,0,4,6.74,75,64,Not Placed,0.0
248,Meta | Phonescreen,200,Meta,110,1370,4,3,8.96,84,62,Not Placed,0.0
249,Amazon SDE 2 | Phone Screen,470,Amazon,1154,1484,4,6,7.82,69,42,Not Placed,0.0
250,HubSpot Senior SE Interview - What Questions Were Asked Recently?,118,Unknown,1958,1371,0,1,6.12,78,79,Not Placed,0.0
251,Amazon | SDE II | OA,414,Amazon,2190,2563,0,4,8.84,78,91,Not Placed,0.0
252,Stripe Onsite Experience Needed,8,Unknown,1167,1883,4,4,7.66,94,67,Not Placed,0.0
253,📍📍 Morgan Stanley (Code to Give) Online Assessment Questions,1900,Unknown,2167,2088,4,6,7.01,51,84,Not Placed,0.0
254,Wayfair Interview,9,Unknown,1968,1247,2,6,7.71,78,93,Not Placed,0.0
255,Google Interview Experiences - Compilation,1740,Google,2285,1829,0,4,9.03,84,72,Not Placed,0.0
256,Morgan Stanley (Code to Give) Online Assessment Questions,159,Unknown,1208,2587,4,1,9.66,71,81,Not Placed,0.0
257,Meta | Recently asked Product Architecture questions,693,Meta,377,1735,3,2,7.72,51,62,Not Placed,0.0
258,Google L3 Interview Process - No Update After Positive Phone Screen?,605,Google,782,2264,1,2,7.77,86,81,Not Placed,0.0
259,Git Cheat Sheet 📝,81,Unknown,362,1576,4,3,9.49,96,66,Not Placed,0.0
