student_id,cgpa,internships,projects,certifications,coding_score,aptitude_score,communication_score,logical_reasoning_score,github_repos,mock_interview_score,attendance_percentage,backlogs,placement_status,salary_package_lpa,company,article_url
27,6.25,2,1,3,48,96,83,68,4,67,68.32,1,Placed,44.21,Verizon,https://www.geeksforgeeks.org/interview-experiences/verizon-interview-experience-on-campus/
28,6.45,1,5,4,75,51,69,73,13,45,68.75,0,Placed,32.13,TCS NQT,https://www.geeksforgeeks.org/interview-experiences/tcs-nqt-interview-experience-for-tcs-prime-on-campus/
29,6.8,1,2,3,91,59,49,52,10,86,73.52,0,Not Placed,0.0,BlackRock,https://www.geeksforgeeks.org/interview-experiences/blackrock-interview-experience-for-sde-on-campus-2024/
30,9.57,1,6,2,48,77,76,48,8,56,92.17,2,Placed,44.75,UKG,https://www.geeksforgeeks.org/interview-experiences/ukg-interview-experience-sde-on-campus/
31,8.66,2,6,7,44,57,82,74,7,53,74.02,1,Not Placed,0.0,Western Union,https://www.geeksforgeeks.org/interview-experiences/western-union-interview-experience-on-campus-2024/
32,8.41,3,6,8,57,96,89,88,7,100,91.95,2,Placed,42.94,Amadeus Labs,https://www.geeksforgeeks.org/interview-experiences/amadeus-labs-interview-experience-on-campus-2025-batch-1/
33,8.99,0,5,3,65,51,87,89,13,84,71.61,2,Not Placed,0.0,KPIT,https://www.geeksforgeeks.org/interview-experiences/kpit-interview-experience-on-campus-2/
34,8.16,1,5,4,41,83,54,54,12,40,88.34,1,Placed,40.77,Unknown,https://www.geeksforgeeks.org/interview-experiences/mindfire-solutions-experience/
35,6.67,0,2,8,95,76,100,45,2,47,65.28,2,Placed,37.04,Osmosys,https://www.geeksforgeeks.org/interview-experiences/osmosys-interview-experience/
36,6.84,0,5,4,67,49,40,76,17,81,77.34,0,Placed,42.84,Onsurity,https://www.geeksforgeeks.org/interview-experiences/onsurity-interview-experience/
37,8.63,0,5,5,42,52,75,74,10,70,70.52,0,Placed,7.21,Dassault Systemes,https://www.geeksforgeeks.org/interview-experiences/dassault-systemes-interview-experience-on-campus/
38,7.36,4,2,6,83,43,65,66,11,90,85.03,0,Placed,17.85,Google,https://www.geeksforgeeks.org/interview-experiences/google-interview-experience-application-engineer-intern-inter-ppo-oncampus/
39,7.19,1,5,7,76,40,99,58,13,98,68.92,2,Placed,8.05,Oracle,https://www.geeksforgeeks.org/interview-experiences/oracle-interview-experience-on-campus-1/
40,8.9,2,3,5,98,61,89,52,4,92,96.21,2,Placed,16.61,Gap Inc,https://www.geeksforgeeks.org/interview-experiences/gap-inc-interview-experience-for-software-engineer-on-campus/
41,8.44,3,4,4,96,66,55,52,18,50,93.98,1,Placed,41.49,Synergies Castings Limited,https://www.geeksforgeeks.org/interview-experiences/synergies-castings-limited-interview-experience-industrial-training-6months-on-campus/
42,6.54,0,1,5,66,65,80,64,8,48,65.31,0,Placed,20.95,Globallogic - Hitachi,https://www.geeksforgeeks.org/interview-experiences/globallogic-hitachi-interview-experience-on-campus/
43,6.7,2,6,5,41,75,60,44,10,88,86.62,1,Placed,30.42,Caterpillar Inc.,https://www.geeksforgeeks.org/interview-experiences/caterpillar-inc-interview-experience-on-campus-2024-fte-intern/
44,8.7,4,4,4,94,67,57,89,18,61,78.46,2,Placed,21.14,Osmosys,https://www.geeksforgeeks.org/interview-experiences/osmosys-interview-experience-on-campus/
45,6.82,2,1,5,71,50,81,53,9,52,94.33,2,Placed,17.88,Paltech,https://www.geeksforgeeks.org/interview-experiences/paltech-interview-experience-2024-software-engineer-on-campus/
46,7.91,1,1,1,52,51,41,100,0,98,74.97,1,Placed,31.66,Oracle,https://www.geeksforgeeks.org/interview-experiences/oracle-interview-experience-on-campus-2024-1/
47,7.24,1,2,8,75,59,94,43,20,91,78.1,2,Placed,21.95,Pando.ai,https://www.geeksforgeeks.org/interview-experiences/pandoai-interview-experience-on-campus/
48,7.0,0,1,0,58,48,66,65,6,70,78.51,1,Placed,14.03,Cedcoss Technologies,https://www.geeksforgeeks.org/interview-experiences/cedcoss-technologies-interview-experience-on-campus/
49,8.13,0,2,2,99,40,74,71,8,47,85.3,0,Placed,22.4,S&P Global,https://www.geeksforgeeks.org/interview-experiences/sp-global-interview-experience-on-campus-2/
50,6.85,0,3,0,70,79,47,61,0,93,89.47,2,Not Placed,0.0,Phonepe,https://www.geeksforgeeks.org/interview-experiences/phonepe-interview-experience-on-campus-1/
51,6.17,4,1,2,42,79,63,60,1,73,78.56,1,Not Placed,0.0,Sasken Technology,https://www.geeksforgeeks.org/interview-experiences/sasken-technology-interview-experience-for-associate-software-engineer-on-campus-2024/
52,6.55,1,1,6,97,53,85,46,15,86,85.32,2,Placed,30.83,Accenture,https://www.geeksforgeeks.org/interview-experiences/accenture-interview-experience-on-campus-15/
53,8.64,3,1,7,46,91,92,48,17,87,71.57,1,Placed,9.32,Zeta,https://www.geeksforgeeks.org/interview-experiences/zeta-interview-experience-as-a-sdet-intern/
54,6.78,4,4,2,52,52,71,70,7,93,79.41,1,Placed,42.0,NICE Systems,https://www.geeksforgeeks.org/interview-experiences/nice-systems-interview-experience-on-campus-2024-1/
55,7.46,1,5,2,58,93,92,72,18,75,71.69,1,Placed,39.09,Oracle,https://www.geeksforgeeks.org/interview-experiences/oracle-interview-experience-on-campus-2024-application-developer/
56,7.48,2,5,7,41,77,73,81,1,59,69.03,2,Placed,37.62,Okta,https://www.geeksforgeeks.org/interview-experiences/okta-interview-experience-software-engineer-role-on-campus/
57,8.64,0,2,4,72,55,61,88,17,95,82.8,0,Not Placed,0.0,Broadridge,https://www.geeksforgeeks.org/interview-experiences/broadridge-interview-experience-on-campus/
58,8.23,4,2,8,87,75,48,76,14,54,79.54,1,Placed,42.27,Siemens-EDA,https://www.geeksforgeeks.org/interview-experiences/siemens-eda-interview-experience-6-month-intern-on-campus/
59,7.07,4,3,1,97,56,81,57,10,61,87.98,1,Placed,36.88,Unthinkable Solutions,https://www.geeksforgeeks.org/interview-experiences/unthinkable-solutions-interview-experience-on-campus-3/
60,9.75,1,2,3,87,70,81,98,18,92,92.16,1,Placed,9.06,Factset,https://www.geeksforgeeks.org/interview-experiences/factset-interview-experience-on-campus-5/
61,9.57,3,4,8,93,49,73,69,0,91,79.31,1,Placed,43.67,Yamaha Motors Solution India Pvt. Ltd.,https://www.geeksforgeeks.org/interview-experiences/yamaha-motors-solution-india-pvt-ltd-interview-experience-on-campus-1/
62,7.31,1,5,3,56,52,45,100,11,71,83.1,0,Placed,29.67,EY GDS,https://www.geeksforgeeks.org/interview-experiences/ey-gds-interview-experience-tech-consultant-full-time-on-campus/
63,7.25,2,5,8,66,78,68,49,18,49,70.81,2,Placed,30.16,Hexaware,https://www.geeksforgeeks.org/interview-experiences/hexaware-interview-experience-on-campus-spget2023-2024/
64,9.07,4,1,4,60,75,89,51,13,76,91.18,0,Placed,15.71,Bank Of America,https://www.geeksforgeeks.org/interview-experiences/bank-of-america-interview-experience-2024-on-campus/
65,6.37,0,1,8,89,47,98,75,18,85,65.37,1,Placed,15.58,Pubmatic,https://www.geeksforgeeks.org/interview-experiences/pubmatic-interview-experience-on-campus/
66,6.37,0,6,1,99,47,90,100,16,62,91.03,0,Placed,44.61,MathCo,https://www.geeksforgeeks.org/interview-experiences/mathco-interview-experience-analyst-trainee/
67,9.45,3,3,1,56,58,100,72,0,72,97.65,0,Not Placed,0.0,Global Logic,https://www.geeksforgeeks.org/interview-experiences/global-logic-interview-experience-trainee-se-on-campus-/
68,8.43,1,5,7,84,42,53,72,6,69,72.54,0,Placed,6.0,GlobalLogic,https://www.geeksforgeeks.org/interview-experiences/globallogic-interview-experience-on-campus/
69,8.29,3,5,1,97,63,100,51,1,48,84.98,2,Placed,38.89,Adobe,https://www.geeksforgeeks.org/interview-experiences/adobe-interview-experience-product-intern-on-campus-2024/
70,6.83,1,4,5,75,99,87,93,4,87,96.02,2,Placed,34.43,Contentstack,https://www.geeksforgeeks.org/interview-experiences/contentstack-interview-experience/
71,6.31,4,1,4,63,92,89,69,15,76,85.47,2,Placed,32.98,Genpact,https://www.geeksforgeeks.org/interview-experiences/genpact-interview-experience-for-software-engineer-on-campus/
72,7.65,3,5,6,54,60,69,78,17,74,91.6,1,Placed,21.15,Jones Lang LaSalle (JLL),https://www.geeksforgeeks.org/interview-experiences/jones-lang-lasalle-jll-interview-experience-for-trainee-software-engineer-on-campus/
73,9.57,1,1,5,57,79,51,82,11,62,65.81,0,Placed,19.37,Meesho,https://www.geeksforgeeks.org/interview-experiences/meesho-interview-experience-on-campus-sde-1/
74,7.04,2,5,5,45,73,72,44,13,79,65.19,2,Placed,12.21,Pratt and Whitney,https://www.geeksforgeeks.org/interview-experiences/pratt-and-whitney-interview-experience/
75,8.47,0,6,5,50,43,83,43,5,94,67.73,0,Not Placed,0.0,Seclore,https://www.geeksforgeeks.org/interview-experiences/seclore-interview-experience-on-campus/
76,6.54,1,5,0,96,76,70,74,2,72,93.68,2,Placed,39.86,Texas Instruments,https://www.geeksforgeeks.org/interview-experiences/texas-instruments-interview-experience-on-campus-2/
77,8.66,0,4,5,41,50,93,90,7,90,84.51,2,Placed,18.84,TCS NQT,https://www.geeksforgeeks.org/interview-experiences/tcs-nqt-interview-experience-on-campus/
78,9.45,1,1,5,100,82,99,75,9,77,82.34,0,Placed,7.43,Goldman Sachs,https://www.geeksforgeeks.org/interview-experiences/goldman-sachs-interview-experience-1/
79,7.1,2,2,1,90,94,43,43,4,43,88.36,0,Placed,11.42,Unknown,https://www.geeksforgeeks.org/interview-experiences/amazon-interview-experiencesde-internship-on-campus/
80,6.39,3,2,3,97,47,61,79,15,90,93.21,2,Placed,17.35,Couchbase | UI/UX Role | Full Time | On-Campus |,https://www.geeksforgeeks.org/interview-experiences/couchbase-ui-ux-role-full-time-on-campus-interview-experience/
81,7.54,4,4,0,53,92,65,72,20,77,65.91,2,Placed,12.62,Argusoft,https://www.geeksforgeeks.org/interview-experiences/argusoft-interview-experience-1/
82,7.82,3,2,0,76,78,49,88,9,69,97.36,2,Placed,16.96,Wells Fargo,https://www.geeksforgeeks.org/interview-experiences/wells-fargo-interview-experience-on-campus-august-2024/
83,9.67,2,4,0,54,77,100,68,15,41,79.14,0,Not Placed,0.0,AlBright Labs,https://www.geeksforgeeks.org/interview-experiences/albright-labs-interview-experience-on-campus/
84,7.02,3,5,0,51,75,72,88,17,56,76.64,2,Not Placed,0.0,Global Logic,https://www.geeksforgeeks.org/interview-experiences/global-logic-interview-experience-2025-batch-on-campus-ai-graduate-engineer-trainee/
85,6.94,1,2,5,56,78,75,88,0,94,83.89,0,Not Placed,0.0,Uber,https://www.geeksforgeeks.org/interview-experiences/uber-interview-experience-for-sde-i-on-campus/
86,8.76,0,3,1,70,71,90,70,6,76,76.83,0,Not Placed,0.0,GE Digital,https://www.geeksforgeeks.org/interview-experiences/ge-digital-interview-experience-for-software-engineering-specialist-on-campus-2/
87,6.13,1,2,4,44,69,45,52,9,57,94.75,2,Placed,38.69,Maximl,https://www.geeksforgeeks.org/interview-experiences/maximl-interview-experience-sde-intern-frontend-on-campus/
88,6.63,3,4,5,44,65,41,42,16,85,88.56,1,Not Placed,0.0,Toshiba,https://www.geeksforgeeks.org/interview-experiences/toshiba-interview-experience-1/
89,8.95,3,5,4,42,62,66,58,3,59,66.28,2,Not Placed,0.0,PalTech,https://www.geeksforgeeks.org/interview-experiences/paltech-interview-experience/
90,6.88,1,3,5,72,55,76,51,17,77,96.28,1,Placed,5.72,Tejas Networks,https://www.geeksforgeeks.org/interview-experiences/tejas-networks-interview-experience-on-campus-october-2024/
91,9.29,4,4,3,61,47,53,43,3,50,87.01,0,Placed,39.57,Coditas,https://www.geeksforgeeks.org/interview-experiences/coditas-interview-experienceon-campus-2024-passout-batch/
92,7.96,2,2,1,87,43,88,44,3,90,67.92,2,Placed,18.49,Trimble,https://www.geeksforgeeks.org/interview-experiences/trimble-interview-experience-on-campus-2024/
93,6.05,3,3,3,97,59,66,47,9,74,82.22,2,Placed,7.6,Acuiti Labs,https://www.geeksforgeeks.org/interview-experiences/acuiti-labs-interview-experience-on-campus/
94,9.23,4,3,6,52,85,82,80,11,58,89.73,0,Placed,36.76,PalTech,https://www.geeksforgeeks.org/interview-experiences/paltech-interview-experience-november-2024/
95,7.0,4,2,6,98,71,49,56,5,74,80.38,2,Placed,31.71,CodingMart Technologies,https://www.geeksforgeeks.org/interview-experiences/codingmart-technologies-interview-experience-on-campus/
96,9.2,1,2,4,56,81,43,99,10,69,80.98,2,Placed,14.14,Accenture,https://www.geeksforgeeks.org/interview-experiences/accenture-interview-experience-on-campus-2024-1/
97,9.41,2,2,6,94,44,45,48,20,73,84.3,1,Not Placed,0.0,Nvidia,https://www.geeksforgeeks.org/interview-experiences/nvidia-interview-experience-for-system-software-engineer-internshipon-campus/
98,9.33,3,3,0,49,94,87,84,6,56,92.6,2,Placed,15.32,Oracle,https://www.geeksforgeeks.org/interview-experiences/oracle-interview-experience-on-campus-cgiu-sept-2024/
99,6.55,0,6,4,88,96,44,42,0,83,93.33,1,Placed,17.39,Accenture,https://www.geeksforgeeks.org/interview-experiences/accenture-interview-experience-for-ase-on-campus-2024-passout/
100,9.17,3,6,1,59,76,65,94,9,40,66.79,0,Not Placed,0.0,Tech Mahindra,https://www.geeksforgeeks.org/interview-experiences/tech-mahindra-interview-experience-on-campus-6/
101,8.59,3,2,7,96,80,95,93,4,66,77.89,1,Placed,14.48,Juspay On-Campus,https://www.geeksforgeeks.org/interview-experiences/juspay-on-campus-interview-experience-for-batch-2025/
102,9.01,1,4,4,66,61,58,65,13,70,69.74,0,Not Placed,0.0,Amazon,https://www.geeksforgeeks.org/interview-experiences/amazon-interview-experience-on-campus-11/
103,6.27,3,6,5,48,61,68,64,20,72,94.01,0,Not Placed,0.0,MathCo |,https://www.geeksforgeeks.org/interview-experiences/mathco-interview-experience-on-campus-analyst-role/
104,8.24,4,3,0,75,72,58,50,3,78,72.15,2,Not Placed,0.0,Accenture,https://www.geeksforgeeks.org/interview-experiences/accenture-interview-experience-for-associate-software-engineer-on-campus-3/
105,7.67,3,3,4,65,44,63,52,10,49,97.51,1,Placed,12.15,Deloitte USI,https://www.geeksforgeeks.org/interview-experiences/deloitte-usi-interview-experience-for-analyst-role-full-time-on-campus/
106,8.84,1,1,7,100,70,71,40,11,79,90.37,1,Placed,20.16,Omniscient Software Ltd,https://www.geeksforgeeks.org/interview-experiences/omniscient-software-ltd-interview-experience-on-campus-drive-software-engineer-intern-full-time/
107,8.73,3,2,4,57,51,65,69,14,79,89.39,2,Placed,40.9,Deloitte USI,https://www.geeksforgeeks.org/interview-experiences/deloitte-usi-interview-experience-on-campus-deloitte-us-india-analyst-fte/
108,7.62,0,4,0,48,86,81,87,1,95,77.68,2,Placed,12.81,Deutsche Bank,https://www.geeksforgeeks.org/interview-experiences/deutsche-bank-interview-experience-for-sde-on-campus-2/
109,7.16,0,4,2,93,89,72,48,4,96,72.36,2,Placed,24.24,Meesho,https://www.geeksforgeeks.org/interview-experiences/meesho-interview-experience-on-campus-sde-1-1/
110,6.5,3,2,5,57,95,68,55,18,65,66.32,1,Placed,23.99,BNY Mellon,https://www.geeksforgeeks.org/interview-experiences/bny-mellon-interview-experience-for-software-engineer-internship-on-campus2022/
111,6.69,1,3,8,51,99,59,80,5,99,77.01,1,Placed,15.85,Yen Technologies,https://www.geeksforgeeks.org/interview-experiences/yen-technologies-interview-experience/
112,8.69,0,5,8,47,65,63,63,5,93,67.65,1,Placed,10.83,NVIDIA Graphics,https://www.geeksforgeeks.org/interview-experiences/nvidia-graphics-interview-experience-tools-development-intern-role-on-campus/
113,7.72,1,4,5,41,58,78,93,5,47,80.52,1,Not Placed,0.0,UBS,https://www.geeksforgeeks.org/interview-experiences/ubs-interview-experience-for-graduate-trainee-role-on-campus/
114,8.29,0,5,6,43,71,72,40,0,46,69.08,2,Placed,8.16,Salesforce,https://www.geeksforgeeks.org/interview-experiences/salesforce-interview-experience-internship-on-campus/
115,6.86,4,2,3,47,90,94,87,11,77,92.83,2,Placed,4.68,Renault Nissan Technology & Business Centre India (RNTBCI),https://www.geeksforgeeks.org/interview-experiences/renault-nissan-technology-business-centre-india-rntbci-interview-experience-on-campus/
116,6.17,4,5,4,64,62,90,71,3,68,84.33,2,Placed,33.94,Nice Systems,https://www.geeksforgeeks.org/interview-experiences/nice-systems-interview-experience-on-campus-2024/
117,8.41,3,6,7,61,97,85,72,0,58,69.05,0,Placed,42.24,Unknown,https://www.geeksforgeeks.org/interview-experiences/solugenix-interview-experience/
118,8.41,0,6,3,95,93,48,96,14,40,84.92,1,Not Placed,0.0,JIO,https://www.geeksforgeeks.org/interview-experiences/jio-interview-experience-on-campus-2/
119,6.07,4,4,0,73,92,60,52,3,79,95.82,0,Placed,41.15,Mindfire Solutions,https://www.geeksforgeeks.org/interview-experiences/mindfire-solutions-interview-experience-software-engineer-on-campus/
120,6.83,1,4,7,74,52,98,64,16,51,86.74,2,Placed,17.22,Jellyfish Technologies,https://www.geeksforgeeks.org/interview-experiences/jellyfish-technologies-interview-experience-on-campus/
121,7.64,0,1,7,93,99,53,77,19,57,84.78,0,Placed,11.06,SAP Labs,https://www.geeksforgeeks.org/interview-experiences/sap-labs-interview-experience-for-scholar-on-campus-2023-selected/
122,8.0,4,4,8,56,73,79,63,20,60,72.83,0,Placed,44.95,Societe Generale,https://www.geeksforgeeks.org/interview-experiences/societe-generale-interview-experience-for-software-engineer-on-campus-1/
123,6.0,3,3,8,100,85,63,43,19,80,76.28,2,Placed,30.79,SAP LABS,https://www.geeksforgeeks.org/interview-experiences/sap-labs-interview-experience-ixp-intern/
124,9.47,3,2,2,75,83,61,49,5,60,76.98,0,Placed,37.87,D.E Shaw,https://www.geeksforgeeks.org/interview-experiences/de-shaw-interview-experience-for-technology-developer-intern-2025/
125,6.09,4,5,2,43,84,57,98,10,72,67.91,0,Not Placed,0.0,Accenture,https://www.geeksforgeeks.org/interview-experiences/accenture-interview-experience-for-intern-on-campus/
126,9.32,2,2,4,69,45,47,41,16,59,82.68,2,Not Placed,0.0,EY,https://www.geeksforgeeks.org/interview-experiences/ey-interview-experience-campus-recruitment-cyber-security-specialist-full-time/
127,8.89,2,1,1,79,75,89,52,7,46,88.83,0,Placed,31.75,PWC,https://www.geeksforgeeks.org/interview-experiences/pwc-interview-experience-oncampus/
128,9.78,4,1,1,41,96,42,85,15,57,82.75,0,Placed,39.38,SAS R&D,https://www.geeksforgeeks.org/interview-experiences/sas-rd-interview-experience/
129,8.18,3,5,1,69,98,50,58,11,73,93.44,2,Placed,14.32,Unknown,https://www.geeksforgeeks.org/tag/cognizant-interview-experience/
130,9.26,1,2,4,79,91,84,76,18,40,78.8,1,Not Placed,0.0,Barclays,https://www.geeksforgeeks.org/interview-experiences/barclays-interview-experience-for-business-analyst-on-campus/
131,7.93,3,3,2,71,70,92,90,11,86,81.37,2,Placed,7.87,BlackRock SDE,https://www.geeksforgeeks.org/interview-experiences/blackrock-sde-interview-experience-2024-vit-on-campus/
132,7.76,0,1,2,66,80,89,47,2,74,79.57,0,Placed,43.2,Global Logic,https://www.geeksforgeeks.org/interview-experiences/global-logic-interview-experience-associate-software-engineeron-campus/
133,6.19,4,3,6,87,46,69,61,17,47,93.1,0,Placed,12.83,Arista Networks,https://www.geeksforgeeks.org/interview-experiences/arista-networks-interview-experience-on-campus-for-internship/
134,8.72,1,5,0,56,72,81,55,19,96,96.39,1,Not Placed,0.0,Accenture,https://www.geeksforgeeks.org/interview-experiences/accenture-interview-experience-for-ase-2022-on-campus/
135,7.26,0,6,8,87,95,49,94,0,70,71.65,1,Placed,13.67,GyanSys,https://www.geeksforgeeks.org/interview-experiences/gyansys-interview-experience-on-campus-2024/
136,6.64,0,3,4,98,92,77,41,4,86,68.7,1,Placed,39.73,Genpact,https://www.geeksforgeeks.org/interview-experiences/genpact-interview-experience-on-campus/
137,6.06,1,3,7,87,49,54,45,0,92,72.97,1,Not Placed,0.0,Groww,https://www.geeksforgeeks.org/interview-experiences/groww-interview-experience-for-swe-on-campus-2023/
138,6.56,3,1,0,48,72,80,58,7,83,92.27,0,Placed,11.05,Samsung,https://www.geeksforgeeks.org/interview-experiences/samsung-interview-experience-for-sde-on-campus/
139,6.72,2,1,6,85,54,70,67,8,47,82.39,0,Placed,23.06,Avaya,https://www.geeksforgeeks.org/interview-experiences/avaya-interview-experience-sde-on-campus/
140,7.46,0,3,0,42,47,64,92,2,67,81.84,0,Placed,41.38,Newgen Software,https://www.geeksforgeeks.org/interview-experiences/newgen-software-interview-experience-2/
141,9.1,2,5,7,78,73,66,82,8,73,97.83,2,Placed,34.63,Oracle,https://www.geeksforgeeks.org/interview-experiences/oracle-interview-experience-on-campus-application-developer-aug-2024/
142,6.01,0,1,7,88,40,61,98,10,42,71.5,0,Not Placed,0.0,AthenaHealth,https://www.geeksforgeeks.org/interview-experiences/athenahealth-interview-experience-on-campus-1/
143,9.01,4,5,5,44,69,66,88,20,41,66.61,2,Not Placed,0.0,MediaTek,https://www.geeksforgeeks.org/interview-experiences/mediatek-interview-experience-on-campus-2/
144,7.29,1,6,7,43,71,50,89,19,90,68.78,2,Placed,9.47,Google,https://www.geeksforgeeks.org/interview-experiences/google-interview-experience-for-swe-on-campus-2024/
145,8.07,3,4,5,70,97,96,80,14,88,70.16,1,Placed,9.66,People Tech Group Inc.,https://www.geeksforgeeks.org/interview-experiences/people-tech-group-inc-interview-experience-on-campus/
146,7.02,2,3,2,85,86,80,58,9,67,86.99,0,Placed,24.92,Infineon,https://www.geeksforgeeks.org/interview-experiences/infineon-interview-experience-on-campus/
147,6.7,1,5,1,84,97,67,70,12,64,74.83,2,Placed,28.69,SAP labs,https://www.geeksforgeeks.org/interview-experiences/sap-labs-interview-experience-scholar-sap-on-campus/
148,9.41,1,4,1,57,44,79,78,6,52,74.82,0,Placed,6.92,Accenture,https://www.geeksforgeeks.org/interview-experiences/accenture-interview-experience-ase-oncampus/
149,6.52,1,3,3,76,66,95,100,18,57,94.15,0,Placed,34.81,IDFC First Bank,https://www.geeksforgeeks.org/interview-experiences/idfc-first-bank-interview-experience-for-application-engineer-on-campus-2024-vit-vellore/
150,8.33,2,5,7,60,98,73,48,20,51,86.23,0,Placed,20.97,ION Group,https://www.geeksforgeeks.org/interview-experiences/ion-group-interview-experience-for-data-scientist-on-campus/
151,8.64,4,5,8,53,52,66,46,2,72,73.53,2,Not Placed,0.0,Carelon GLobal Solutions,https://www.geeksforgeeks.org/interview-experiences/carelon-global-solutions-interview-experienceon-campus-associate-software-role/
